Subject,Body,Class
Weekly Status Report [179],Are we still on for lunch tomorrow? Let me know where you want to go.,0
Final Notice: Invoice Overdue,Your bank account has been suspended due to suspicious activity. Verify your identity immediately by clicking the link.,1
Code review request [697],Just checking in on the status of the report. Do you need any help?,0
Code review request [634],Just checking in on the status of the report. Do you need any help?,0
Notes from yesterday's call [743],"Hi team, let's schedule a meeting to discuss the new project. Thanks.",0
Lunch tomorrow?,I've reviewed the PR and it looks good. Ready to merge whenever you are.,0
Code review request,I've reviewed the PR and it looks good. Ready to merge whenever you are.,0
Weekly Status Report [456],Attached is the invoice for last month's work. Let me know if you have any questions.,0
Project update,"Hi team, let's schedule a meeting to discuss the new project. Thanks.",0
Urgent: Your account is locked,Exclusive offer just for you! Buy one get one free. Don't miss out.,1
Earn $5000 a week from home [789],Your bank account has been suspended due to suspicious activity. Verify your identity immediately by clicking the link.,1
You have a new secure message,"Dear Customer, your password will expire in 24 hours. Click below to update it.",1
Earn $5000 a week from home,You have been selected to win a $1000 gift card! Click the link to claim.,1
Win a free iPhone! [691],Exclusive offer just for you! Buy one get one free. Don't miss out.,1
Notes from yesterday's call [977],Attached is the invoice for last month's work. Let me know if you have any questions.,0
Invoice for services,I've reviewed the PR and it looks good. Ready to merge whenever you are.,0
Project update,I've reviewed the PR and it looks good. Ready to merge whenever you are.,0
Let's catch up,"Hi team, let's schedule a meeting to discuss the new project. Thanks.",0
Notes from yesterday's call [578],It was great catching up yesterday. Let's do it again soon.,0
Cheap medication online [822],"Dear Customer, your password will expire in 24 hours. Click below to update it.",1
Code review request [564],Are we still on for lunch tomorrow? Let me know where you want to go.,0
Urgent: Your account is locked [183],Your bank account has been suspended due to suspicious activity. Verify your identity immediately by clicking the link.,1
Meeting at 10 AM [347],Just checking in on the status of the report. Do you need any help?,0
Invoice for services,It was great catching up yesterday. Let's do it again soon.,0
Invoice for services,Just checking in on the status of the report. Do you need any help?,0
Let's catch up,It was great catching up yesterday. Let's do it again soon.,0
Code review request [384],Are we still on for lunch tomorrow? Let me know where you want to go.,0
Claim your lottery prize [555],You have been selected to win a $1000 gift card! Click the link to claim.,1
Let's catch up [795],It was great catching up yesterday. Let's do it again soon.,0
Win a free iPhone!,"Dear Customer, your password will expire in 24 hours. Click below to update it.",1
Project update,Just checking in on the status of the report. Do you need any help?,0
Weekly Status Report,Attached is the invoice for last month's work. Let me know if you have any questions.,0
Invoice for services [263],I've reviewed the PR and it looks good. Ready to merge whenever you are.,0
Weekly Status Report [612],I've reviewed the PR and it looks good. Ready to merge whenever you are.,0
Win a free iPhone!,Your bank account has been suspended due to suspicious activity. Verify your identity immediately by clicking the link.,1
Meeting at 10 AM [674],"Hi team, let's schedule a meeting to discuss the new project. Thanks.",0
Project update,Attached is the invoice for last month's work. Let me know if you have any questions.,0
Notes from yesterday's call,"Hi team, let's schedule a meeting to discuss the new project. Thanks.",0
Claim your lottery prize,Exclusive offer just for you! Buy one get one free. Don't miss out.,1
Final Notice: Invoice Overdue [699],"Dear Customer, your password will expire in 24 hours. Click below to update it.",1
Notes from yesterday's call,"Hi team, let's schedule a meeting to discuss the new project. Thanks.",0
Meeting at 10 AM,Are we still on for lunch tomorrow? Let me know where you want to go.,0
Lunch tomorrow? [214],"Hi team, let's schedule a meeting to discuss the new project. Thanks.",0
Notes from yesterday's call,"Hi team, let's schedule a meeting to discuss the new project. Thanks.",0
Meeting at 10 AM [248],"Hi team, let's schedule a meeting to discuss the new project. Thanks.",0
Lunch tomorrow?,Are we still on for lunch tomorrow? Let me know where you want to go.,0
Win a free iPhone!,Exclusive offer just for you! Buy one get one free. Don't miss out.,1
Notes from yesterday's call [480],Are we still on for lunch tomorrow? Let me know where you want to go.,0
You have a new secure message [274],Make money fast working from home! No experience needed. Reply to this email.,1
Meeting at 10 AM,Attached is the invoice for last month's work. Let me know if you have any questions.,0
Invoice for services [336],"Hi team, let's schedule a meeting to discuss the new project. Thanks.",0
Congratulations! You're a Winner!,Make money fast working from home! No experience needed. Reply to this email.,1
Lunch tomorrow? [208],Are we still on for lunch tomorrow? Let me know where you want to go.,0
Win a free iPhone!,"Dear Customer, your password will expire in 24 hours. Click below to update it.",1
Earn $5000 a week from home,Click here to claim your prize now! Limited time offer. Unsubscribe here.,1
Project update [361],Just checking in on the status of the report. Do you need any help?,0
Weekly Status Report,"Hi team, let's schedule a meeting to discuss the new project. Thanks.",0
Cheap medication online [152],Make money fast working from home! No experience needed. Reply to this email.,1
Notes from yesterday's call,I've reviewed the PR and it looks good. Ready to merge whenever you are.,0
Lunch tomorrow? [921],I've reviewed the PR and it looks good. Ready to merge whenever you are.,0
Meeting at 10 AM [363],Are we still on for lunch tomorrow? Let me know where you want to go.,0
Meeting at 10 AM [531],It was great catching up yesterday. Let's do it again soon.,0
Let's catch up,Are we still on for lunch tomorrow? Let me know where you want to go.,0
Win a free iPhone! [789],Exclusive offer just for you! Buy one get one free. Don't miss out.,1
Invoice for services [664],Are we still on for lunch tomorrow? Let me know where you want to go.,0
Notes from yesterday's call,Attached is the invoice for last month's work. Let me know if you have any questions.,0
Code review request [346],"Hi team, let's schedule a meeting to discuss the new project. Thanks.",0
Weekly Status Report,It was great catching up yesterday. Let's do it again soon.,0
Congratulations! You're a Winner!,You have been selected to win a $1000 gift card! Click the link to claim.,1
Notes from yesterday's call,Are we still on for lunch tomorrow? Let me know where you want to go.,0
Win a free iPhone!,"Dear Customer, your password will expire in 24 hours. Click below to update it.",1
Earn $5000 a week from home,Click here to claim your prize now! Limited time offer. Unsubscribe here.,1
Let's catch up [398],Just checking in on the status of the report. Do you need any help?,0
Earn $5000 a week from home [722],Your bank account has been suspended due to suspicious activity. Verify your identity immediately by clicking the link.,1
Code review request,Just checking in on the status of the report. Do you need any help?,0
Cheap medication online [733],You have been selected to win a $1000 gift card! Click the link to claim.,1
Urgent: Your account is locked,Make money fast working from home! No experience needed. Reply to this email.,1
You have a new secure message [802],"Dear Customer, your password will expire in 24 hours. Click below to update it.",1
You have a new secure message [835],Exclusive offer just for you! Buy one get one free. Don't miss out.,1
Invoice for services [753],Just checking in on the status of the report. Do you need any help?,0
Invoice for services [385],It was great catching up yesterday. Let's do it again soon.,0
Invoice for services,Just checking in on the status of the report. Do you need any help?,0
Code review request [107],I've reviewed the PR and it looks good. Ready to merge whenever you are.,0
Code review request,Attached is the invoice for last month's work. Let me know if you have any questions.,0
Meeting at 10 AM [907],I've reviewed the PR and it looks good. Ready to merge whenever you are.,0
Earn $5000 a week from home [351],Click here to claim your prize now! Limited time offer. Unsubscribe here.,1
Cheap medication online [907],"Dear Customer, your password will expire in 24 hours. Click below to update it.",1
Invoice for services,It was great catching up yesterday. Let's do it again soon.,0
Project update [565],It was great catching up yesterday. Let's do it again soon.,0
Lunch tomorrow?,Just checking in on the status of the report. Do you need any help?,0
Notes from yesterday's call,"Hi team, let's schedule a meeting to discuss the new project. Thanks.",0
Invoice for services [191],"Hi team, let's schedule a meeting to discuss the new project. Thanks.",0
Lunch tomorrow? [909],Just checking in on the status of the report. Do you need any help?,0
Notes from yesterday's call,Just checking in on the status of the report. Do you need any help?,0
Notes from yesterday's call,Attached is the invoice for last month's work. Let me know if you have any questions.,0
Notes from yesterday's call,Are we still on for lunch tomorrow? Let me know where you want to go.,0
Project update [526],Just checking in on the status of the report. Do you need any help?,0
Win a free iPhone! [775],Exclusive offer just for you! Buy one get one free. Don't miss out.,1
Code review request [170],I've reviewed the PR and it looks good. Ready to merge whenever you are.,0
Code review request,It was great catching up yesterday. Let's do it again soon.,0
